obligation_id,customer_id,provider,obligation_type,total_amount,remaining_amount,monthly_payment,interest_rate,status
OBL0000050,CUS000035,Al Rajhi Bank,Mortgage,1636205.52,0.0,0.0,3.45,Closed
OBL0000051,CUS000036,SNB,Personal Loan,260130.49,125976.4,2999.44,6.94,Active
OBL0000052,CUS000036,Riyad Bank,Auto Loan,43706.15,0.0,0.0,3.58,Closed
OBL0000053,CUS000036,Al Rajhi Bank,Mortgage,2114255.16,0.0,0.0,5.17,Closed
OBL0000054,CUS000037,Tabby,Tabby,3047.82,341.29,21.33,0.0,Active
OBL0000055,CUS000038,Alinma Bank,Personal Loan,70489.31,35322.02,706.44,8.19,Active
OBL0000056,CUS000040,Saudi Investment Bank,Personal Loan,910079.4,226685.65,5397.28,4.82,Active
OBL0000057,CUS000041,Tamara,Tamara,389.07,0.0,0.0,0.0,Closed
OBL0000058,CUS000041,Bank Albilad,Personal Loan,62521.98,0.0,0.0,6.27,Closed
OBL0000059,CUS000041,Tabby,Tabby,4554.62,1562.75,32.56,0.0,Active
OBL0000060,CUS000041,Tabby,Tabby,2917.32,2051.71,157.82,0.0,Active
OBL0000061,CUS000042,Bank Albilad,Auto Loan,42621.54,0.0,0.0,7.45,Closed
OBL0000062,CUS000042,Bank Albilad,Credit Card,66918.69,15518.1,352.68,24.04,Overdue
OBL0000063,CUS000042,Riyad Bank,Mortgage,3109255.39,1425013.09,79167.39,3.87,Overdue
OBL0000064,CUS000042,Al Jazirah Auto,Auto Loan,169791.71,0.0,0.0,5.97,Closed
OBL0000065,CUS000043,Tabby,Tabby,1087.11,0.0,0.0,0.0,Closed
OBL0000066,CUS000043,Bank AlJazira,Credit Card,34728.34,19489.21,6496.4,23.0,Active
OBL0000067,CUS000043,Tabby,Tabby,257.85,0.0,0.0,0.0,Closed
OBL0000068,CUS000044,Tabby,Tabby,999.46,0.0,0.0,0.0,Closed
OBL0000069,CUS000044,Tamara,Tamara,1858.2,651.18,11.63,0.0,Overdue
OBL0000070,CUS000044,SNB,Personal Loan,175885.72,82531.57,2116.19,4.07,Active
OBL0000071,CUS000048,Tamara,Tamara,4372.53,0.0,0.0,0.0,Closed
OBL0000072,CUS000050,Tamara,Tamara,4603.28,2957.41,82.15,0.0,Active
OBL0000073,CUS000050,Alinma Bank,Credit Card,51790.91,49621.57,1181.47,23.16,Active
OBL0000074,CUS000051,Riyad Bank,Personal Loan,307446.45,0.0,0.0,4.62,Closed
OBL0000075,CUS000051,Tabby,Tabby,433.03,91.94,1.7,0.0,Active
OBL0000076,CUS000051,Bank AlJazira,Personal Loan,48916.67,13567.08,315.51,7.6,Deferred
OBL0000077,CUS000053,Tamara,Tamara,401.04,182.3,16.57,0.0,Active
OBL0000078,CUS000053,Riyad Bank,Credit Card,41587.29,25131.11,,21.78,Active
OBL0000079,CUS000053,Tabby,Tabby,3429.77,1369.16,273.83,0.0,Active
OBL0000080,CUS000054,Bank AlJazira,Personal Loan,219906.28,197722.33,3530.76,6.61,Overdue
OBL0000081,CUS000054,Tabby,Tabby,2693.04,1549.69,96.86,0.0,Active
OBL0000082,CUS000055,Tabby,Tabby,3720.26,3272.23,81.81,0.0,Active
OBL0000083,CUS000055,Tamara,Tamara,785.91,579.86,12.08,0.0,Deferred
OBL0000084,CUS000055,Bank AlJazira,Personal Loan,120509.62,80274.47,4224.97,6.84,Active
OBL0000085,CUS000056,Tabby,Tabby,4998.7,3847.21,96.18,0.0,Active
OBL0000086,CUS000056,Riyad Bank,Credit Card,64914.18,28891.23,614.71,20.08,Active
OBL0000087,CUS000056,Al Rajhi Bank,Mortgage,3065948.68,2723585.54,61899.67,4.46,Active
OBL0000088,CUS000056,SAB,Mortgage,1944756.3,123663.53,3170.86,3.87,Active
OBL0000089,CUS000058,Al Rajhi Bank,Credit Card,6200.6,2124.74,,,Active
OBL0000090,CUS000058,Tabby,Tabby,4953.02,4202.19,93.38,0.0,Active
OBL0000091,CUS000059,Al Rajhi Bank,Credit Card,51998.16,22173.62,527.94,21.13,Active
OBL0000092,CUS000059,Al Rajhi Bank,Credit Card,49059.14,1205.1,63.43,28.2,Active
OBL0000093,CUS000060,SNB,Auto Loan,182495.12,0.0,0.0,7.44,Closed
OBL0000094,CUS000060,Tabby,Tabby,2955.93,2469.25,41.15,0.0,Active
OBL0000095,CUS000060,Tamara,Tamara,632.36,211.19,10.06,0.0,Overdue
OBL0000096,CUS000061,SAB,Personal Loan,118068.97,24386.94,2709.66,5.39,Active
OBL0000097,CUS000063,Tamara,Tamara,2810.29,1359.93,271.99,0.0,Active
OBL0000098,CUS000063,Saudi Investment Bank,Auto Loan,89744.86,53922.17,980.4,4.99,Active
OBL0000099,CUS000063,Tabby,Tabby,1137.68,271.29,8.22,0.0,Active
OBL0000100,CUS000063,Al Rajhi Bank,Auto Loan,51265.16,13351.21,580.49,5.64,Active
OBL0000101,CUS000064,Al Rajhi Bank,Personal Loan,85688.6,42788.02,1258.47,7.0,Deferred
OBL0000102,CUS000064,Bank Albilad,Credit Card,18207.12,0.0,0.0,25.9,Closed
OBL0000103,CUS000064,Tamara,Tamara,4162.19,0.0,0.0,0.0,Closed
OBL0000104,CUS000067,Riyad Bank,Auto Loan,195991.34,0.0,0.0,4.1,Closed
OBL0000105,CUS000067,Riyad Bank,Credit Card,5187.99,3399.11,113.3,26.97,Active
OBL0000106,CUS000067,Tabby,Tabby,1896.49,0.0,0.0,0.0,Closed
OBL0000107,CUS000068,Bank Albilad,Auto Loan,194921.78,35296.43,1411.86,6.72,Active
OBL0000108,CUS000068,Tamara,Tamara,317.54,223.16,4.96,0.0,Active
OBL0000109,CUS000070,Abdul Latif Jameel Finance,Auto Loan,85238.03,66978.55,2093.08,3.94,Active
OBL0000110,CUS000071,Tabby,Tabby,3245.88,132.31,3.39,0.0,Active
OBL0000111,CUS000071,Saudi Investment Bank,Credit Card,5377.82,4461.26,127.46,20.84,Active
OBL0000112,CUS000071,Tabby,Tabby,419.47,0.0,0.0,0.0,Closed
OBL0000113,CUS000071,Bank AlJazira,Auto Loan,37686.94,0.0,0.0,5.49,Closed
OBL0000114,CUS000072,Alinma Bank,Personal Loan,126455.12,2918.22,51.2,5.92,Active
OBL0000115,CUS000072,Tamara,Tamara,1283.83,978.61,22.76,0.0,Active
OBL0000116,CUS000072,Tabby,Tabby,1350.89,188.21,4.38,0.0,Active
OBL0000117,CUS000074,Bank Albilad,Auto Loan,174822.42,132330.79,8270.67,4.06,Active
OBL0000118,CUS000075,Tamara,Tamara,3137.05,2148.09,716.03,0.0,Active
OBL0000119,CUS000075,Tabby,Tabby,508.61,225.12,10.72,0.0,Active
OBL0000120,CUS000075,Al Rajhi Bank,Mortgage,3506343.21,3238055.99,98122.91,2.61,Active
OBL0000121,CUS000075,Tamara,Tamara,309.09,53.93,5.99,0.0,Active
OBL0000122,CUS000076,Tamara,Tamara,909.47,0.0,0.0,0.0,Closed
OBL0000123,CUS000076,SAB,Personal Loan,367146.46,292039.53,5726.27,8.13,Active
OBL0000124,CUS000076,Saudi Investment Bank,Credit Card,60071.3,10870.99,265.15,25.58,Active
OBL0000125,CUS000078,SNB,Auto Loan,123125.14,65672.6,1427.67,3.1,Active
OBL0000126,CUS000078,Riyad Bank,Credit Card,19368.55,0.0,0.0,19.74,Closed
OBL0000127,CUS000079,Tamara,Tamara,332.99,269.13,6.9,0.0,Active
OBL0000128,CUS000079,Saudi Investment Bank,Credit Card,7651.57,1179.87,62.1,24.02,Active
OBL0000129,CUS000079,Alinma Bank,Personal Loan,44415.09,0.0,0.0,8.02,Closed
OBL0000130,CUS000080,Tamara,Tamara,1959.52,1152.37,48.02,0.0,Active
OBL0000131,CUS000081,Al Rajhi Bank,Auto Loan,139228.49,23023.92,677.17,7.47,Active
OBL0000132,CUS000081,SAB,Mortgage,1076506.08,442926.47,10066.51,4.13,Active
OBL0000133,CUS000082,Tamara,Tamara,1934.43,193.47,3.87,0.0,Active
OBL0000134,CUS000082,Bank Albilad,Auto Loan,157063.99,78478.82,2615.96,7.28,Deferred
OBL0000135,CUS000082,Tabby,Tabby,699.82,468.24,117.06,0.0,Active
OBL0000136,CUS000082,Tamara,Tamara,607.24,0.0,0.0,0.0,Closed
OBL0000137,CUS000083,Alinma Bank,Personal Loan,137272.76,109440.22,,7.79,Active
OBL0000138,CUS000085,Tamara,Tamara,1010.81,842.99,19.6,0.0,Active
OBL0000139,CUS000085,Tamara,Tamara,1906.43,0.0,0.0,0.0,Closed
OBL0000140,CUS000085,Bank AlJazira,Credit Card,33433.45,6381.37,138.73,21.99,Active
OBL0000141,CUS000085,Alinma Bank,Mortgage,1251503.41,1173906.67,234781.33,2.66,Active
OBL0000142,CUS000086,Al Jazirah Auto,Auto Loan,171153.34,0.0,0.0,6.55,Closed
OBL0000143,CUS000086,Tabby,Tabby,1654.66,0.0,0.0,0.0,Closed
OBL0000144,CUS000086,Alinma Bank,Mortgage,1367371.73,93630.28,7202.33,4.21,Active
OBL0000145,CUS000086,Tabby,Tabby,1386.23,812.46,13.77,0.0,Active
OBL0000146,CUS000088,Riyad Bank,Credit Card,80253.46,1786.76,54.14,19.32,Active
OBL0000147,CUS000090,SNB,Personal Loan,488116.13,385094.76,16045.61,6.68,Overdue
OBL0000148,CUS000091,SAB,Mortgage,730422.65,327823.08,7805.31,4.96,Active
OBL0000149,CUS000091,Saudi Investment Bank,Auto Loan,81366.24,36396.41,727.93,4.2,Active
OBL0000150,CUS000091,Saudi Investment Bank,Personal Loan,88439.37,3228.1,248.32,3.71,Active
OBL0000151,CUS000091,Alinma Bank,Auto Loan,175036.92,26769.3,446.15,4.29,Active
OBL0000152,CUS000093,Tamara,Tamara,588.42,559.2,21.51,0.0,Deferred
OBL0000153,CUS000093,Tamara,Tamara,552.74,442.54,24.59,0.0,Overdue
OBL0000154,CUS000094,Tamara,Tamara,2924.11,1163.27,22.81,0.0,Active
OBL0000155,CUS000094,Al Rajhi Bank,Credit Card,23765.34,13201.14,1466.79,28.44,Active
OBL0000156,CUS000095,SNB,Credit Card,46149.09,4562.34,123.31,18.24,Active
OBL0000157,CUS000095,Alinma Bank,Personal Loan,143473.03,102731.37,3804.87,6.76,Active
OBL0000158,CUS000096,Al Jazirah Auto,Auto Loan,60972.46,0.0,0.0,7.25,Closed
OBL0000159,CUS000097,Tabby,Tabby,3885.7,0.0,0.0,0.0,Closed
OBL0000160,CUS000097,Tabby,Tabby,480.01,0.0,0.0,0.0,Closed
OBL0000161,CUS000097,Al Rajhi Bank,Credit Card,22352.72,14138.45,235.64,22.88,Overdue
OBL0000162,CUS000098,Saudi Investment Bank,Credit Card,125090.88,45464.61,1262.91,18.41,Active
OBL0000163,CUS000099,Tabby,Tabby,3026.51,2418.45,120.92,0.0,Active
OBL0000164,CUS000099,Riyad Bank,Personal Loan,308049.72,106027.21,4241.09,5.03,Active
OBL0000165,CUS000100,Tabby,Tabby,3347.87,0.0,0.0,0.0,Closed
OBL0000166,CUS000100,Alinma Bank,Auto Loan,33504.24,0.0,0.0,6.29,Closed
OBL0000167,CUS000100,Tamara,Tamara,4221.62,3246.85,67.64,0.0,Active
OBL0000168,CUS000100,Bank AlJazira,Credit Card,62452.16,37391.79,4673.97,19.8,Active
OBL0000169,CUS000101,Tabby,Tabby,543.87,290.24,58.05,0.0,Active
OBL0000170,CUS000101,SAB,Mortgage,1457197.16,903879.51,,4.53,Active
OBL0000171,CUS000101,Tamara,Tamara,2902.22,1972.49,53.31,0.0,Active
OBL0000172,CUS000102,Tabby,Tabby,1970.34,312.24,9.76,0.0,Active
OBL0000173,CUS000103,Abdul Latif Jameel Finance,Auto Loan,69518.21,11950.74,314.49,7.0,Active
OBL0000174,CUS000103,Al Jazirah Auto,Auto Loan,176456.05,99294.39,2482.36,4.42,Overdue
OBL0000175,CUS000105,Bank Albilad,Credit Card,29218.44,28253.52,807.24,25.33,Active
OBL0000176,CUS000105,Tabby,Tabby,3840.78,671.9,15.63,0.0,Active
OBL0000177,CUS000106,Tabby,Tabby,4128.51,0.0,0.0,0.0,Closed
OBL0000178,CUS000106,Bank Albilad,Auto Loan,38072.94,0.0,0.0,3.56,Closed
OBL0000179,CUS000106,Bank Albilad,Personal Loan,64288.93,2949.82,50.0,6.49,Overdue
OBL0000180,CUS000106,Bank Albilad,Credit Card,10243.35,5805.44,232.22,22.27,Active
OBL0000181,CUS000107,Abdul Latif Jameel Finance,Auto Loan,52762.42,50743.56,1057.16,5.45,Active
OBL0000182,CUS000107,Tabby,Tabby,589.06,283.14,5.78,0.0,Overdue
OBL0000183,CUS000109,Tabby,Tabby,4913.52,1940.5,34.04,0.0,Active
OBL0000184,CUS000110,Tamara,Tamara,381.24,39.17,9.79,0.0,Active
OBL0000185,CUS000110,SNB,Personal Loan,50806.77,20581.17,437.9,7.55,Active
OBL0000186,CUS000111,SNB,Auto Loan,33544.46,9596.79,872.44,3.69,Active
OBL0000187,CUS000111,Bank Albilad,Credit Card,58587.18,9901.21,396.05,25.51,Overdue
OBL0000188,CUS000111,Saudi Investment Bank,Auto Loan,47002.37,39775.76,4419.53,4.29,Active
OBL0000189,CUS000112,Tamara,Tamara,1837.96,812.66,16.25,0.0,Active
OBL0000190,CUS000112,Bank Albilad,Mortgage,2792474.86,285319.59,31702.18,4.73,Active
OBL0000191,CUS000113,Tabby,Tabby,4446.75,4074.87,97.02,0.0,Active
OBL0000192,CUS000113,Al Rajhi Bank,Mortgage,841069.88,601642.6,75205.32,3.88,Active
OBL0000193,CUS000116,Saudi Investment Bank,Credit Card,9950.02,5426.57,91.98,28.03,Active
OBL0000194,CUS000118,Bank AlJazira,Credit Card,23627.86,3491.98,124.71,23.74,Overdue
OBL0000195,CUS000119,SAB,Credit Card,5846.46,3162.38,210.83,24.67,Active
OBL0000196,CUS000119,Saudi Investment Bank,Personal Loan,117332.38,0.0,0.0,6.8,Closed
OBL0000197,CUS000119,Alinma Bank,Credit Card,17666.41,7447.86,372.39,25.08,Active
OBL0000198,CUS000120,Saudi Investment Bank,Personal Loan,164544.42,79961.78,4703.63,5.87,Overdue
OBL0000199,CUS000120,Tamara,Tamara,1313.81,0.0,0.0,0.0,Closed
OBL0000200,CUS000120,Al Jazirah Auto,Auto Loan,93152.3,21352.72,577.1,4.96,Active
OBL0000201,CUS000120,Alinma Bank,Mortgage,2001812.26,0.0,0.0,4.09,Closed
OBL0000202,CUS000125,Al Rajhi Bank,Credit Card,7204.77,5743.76,119.66,20.86,Active
OBL0000203,CUS000125,Alinma Bank,Auto Loan,32753.23,0.0,0.0,5.73,Closed
OBL0000204,CUS000127,Abdul Latif Jameel Finance,Auto Loan,35123.06,15881.73,529.39,5.83,Active
OBL0000205,CUS000127,Al Rajhi Bank,Personal Loan,420104.58,0.0,0.0,4.05,Closed
OBL0000206,CUS000128,SAB,Credit Card,8668.03,0.0,0.0,27.37,Closed
OBL0000207,CUS000128,Tamara,Tamara,4997.44,2303.97,82.28,0.0,Active
OBL0000208,CUS000128,SAB,Credit Card,22085.33,6879.71,167.8,18.94,Active
OBL0000209,CUS000128,Bank Albilad,Auto Loan,56990.51,35813.74,617.48,5.33,Active
OBL0000210,CUS000129,Tabby,Tabby,4191.64,253.65,7.46,0.0,Active
OBL0000211,CUS000129,SAB,Mortgage,972771.81,576759.39,57675.94,2.89,Active
OBL0000212,CUS000130,Tabby,Tabby,4369.64,3044.23,60.88,0.0,Active
OBL0000213,CUS000131,Saudi Investment Bank,Credit Card,8223.99,5377.69,672.21,28.53,Active
OBL0000214,CUS000131,Alinma Bank,Credit Card,17536.28,715.36,25.55,27.49,Active
OBL0000215,CUS000132,Saudi Investment Bank,Personal Loan,46324.43,37657.33,1981.96,5.8,Active
OBL0000216,CUS000134,SAB,Auto Loan,73807.71,0.0,0.0,4.1,Closed
OBL0000217,CUS000134,Bank AlJazira,Personal Loan,116395.63,111096.73,4629.03,6.23,Active
OBL0000218,CUS000135,SAB,Personal Loan,64458.83,9241.26,543.6,3.79,Active
OBL0000219,CUS000136,Alinma Bank,Personal Loan,54497.87,19422.25,334.87,3.97,Active
OBL0000220,CUS000138,SNB,Auto Loan,41758.6,0.0,0.0,3.17,Closed
OBL0000221,CUS000139,SNB,Personal Loan,217295.57,55000.74,1410.28,4.38,Active
OBL0000222,CUS000141,Tabby,Tabby,1864.29,148.94,3.04,0.0,Active
OBL0000223,CUS000141,Al Rajhi Bank,Auto Loan,38902.72,36438.87,809.75,3.14,Active
OBL0000224,CUS000141,Bank Albilad,Credit Card,20946.02,12357.96,823.86,23.28,Overdue
OBL0000225,CUS000141,Al Rajhi Bank,Mortgage,1241479.79,1090026.49,23192.05,2.87,Active
OBL0000226,CUS000142,SNB,Mortgage,3018638.3,935973.82,22285.09,3.23,Active
OBL0000227,CUS000142,Al Rajhi Bank,Auto Loan,117802.96,0.0,0.0,7.44,Closed
OBL0000228,CUS000142,SAB,Auto Loan,33407.0,12580.74,292.58,,Active
OBL0000229,CUS000142,Tamara,Tamara,3843.18,1717.79,53.68,0.0,Active
OBL0000230,CUS000145,Al Jazirah Auto,Auto Loan,67737.72,60101.27,1226.56,6.44,Active
OBL0000231,CUS000145,SNB,Personal Loan,238488.03,25600.57,3657.22,3.91,Active
OBL0000232,CUS000146,Tamara,Tamara,397.12,192.4,5.83,0.0,Active
OBL0000233,CUS000146,Tabby,Tabby,3743.35,738.89,12.96,0.0,Deferred
OBL0000234,CUS000147,Tamara,Tamara,2424.96,383.02,19.15,0.0,Active
OBL0000235,CUS000149,Al Jazirah Auto,Auto Loan,133633.65,0.0,0.0,7.08,Closed
OBL0000236,CUS000149,Tamara,Tamara,4214.04,0.0,0.0,0.0,Closed
OBL0000237,CUS000149,Bank Albilad,Mortgage,658087.02,70934.66,2627.21,4.8,Active
OBL0000238,CUS000151,Al Rajhi Bank,Auto Loan,121395.55,0.0,0.0,7.49,Closed
OBL0000239,CUS000151,Alinma Bank,Auto Loan,94629.47,37292.41,7458.48,4.66,Overdue
OBL0000240,CUS000151,Al Rajhi Bank,Credit Card,6456.2,4500.46,75.01,23.57,Active
OBL0000241,CUS000153,Alinma Bank,Credit Card,48049.66,5613.07,116.94,19.22,Active
OBL0000242,CUS000153,Tabby,Tabby,1146.32,554.72,9.73,0.0,Overdue
OBL0000243,CUS000153,Bank AlJazira,Credit Card,14111.53,0.0,0.0,26.73,Closed
OBL0000244,CUS000153,Tabby,Tabby,3187.94,1551.42,129.28,0.0,Active
OBL0000245,CUS000155,Riyad Bank,Credit Card,63779.03,0.0,0.0,18.78,Closed
OBL0000246,CUS000155,SAB,Personal Loan,105115.67,0.0,0.0,6.3,Closed
OBL0000247,CUS000155,Riyad Bank,Credit Card,53055.48,35007.61,614.17,20.29,Active
OBL0000248,CUS000155,Alinma Bank,Auto Loan,66997.58,43260.67,758.96,4.0,Active
OBL0000249,CUS000156,Tamara,Tamara,1289.87,42.38,1.41,0.0,Active
OBL0000250,CUS000156,Alinma Bank,Personal Loan,170080.13,0.0,0.0,8.92,Closed
OBL0000251,CUS000156,Alinma Bank,Auto Loan,98829.17,0.0,0.0,6.97,Closed
OBL0000252,CUS000159,Tamara,Tamara,251.06,0.0,0.0,0.0,Closed
OBL0000253,CUS000159,SNB,Personal Loan,106428.36,72001.28,1220.36,6.44,Active
OBL0000254,CUS000159,SAB,Credit Card,28194.45,0.0,0.0,,Closed
OBL0000255,CUS000159,Al Rajhi Bank,Mortgage,504337.12,0.0,0.0,3.1,Closed
OBL0000256,CUS000160,Alinma Bank,Personal Loan,297389.07,277927.69,7126.35,6.69,Active
OBL0000257,CUS000160,Tamara,Tamara,1139.57,937.71,24.04,0.0,Active
OBL0000258,CUS000160,SNB,Auto Loan,89265.83,25691.65,583.9,5.03,Active
OBL0000259,CUS000161,Tabby,Tabby,4740.04,0.0,0.0,0.0,Closed
OBL0000260,CUS000161,Tamara,Tamara,3439.35,0.0,0.0,0.0,Closed
OBL0000261,CUS000162,Tabby,Tabby,2684.57,489.77,13.99,0.0,Active
OBL0000262,CUS000163,Alinma Bank,Mortgage,1433523.28,504750.61,15295.47,3.08,Active
OBL0000263,CUS000165,SAB,Personal Loan,159410.22,121848.67,3206.54,4.47,Active
OBL0000264,CUS000165,Tamara,Tamara,3912.62,1515.28,168.36,0.0,Active
OBL0000265,CUS000165,Tabby,Tabby,2289.2,0.0,0.0,0.0,Closed
OBL0000266,CUS000169,Alinma Bank,Personal Loan,73005.78,47083.59,2242.08,,Active
OBL0000267,CUS000169,SNB,Auto Loan,135862.09,111494.0,27873.5,6.49,Active
OBL0000268,CUS000169,Saudi Investment Bank,Credit Card,9447.25,1496.0,31.83,26.13,Active
OBL0000269,CUS000169,Tamara,Tamara,4116.9,2008.8,200.88,0.0,Active
OBL0000270,CUS000170,Alinma Bank,Credit Card,10222.86,5498.0,157.09,22.22,Active
OBL0000271,CUS000172,Al Rajhi Bank,Personal Loan,249859.81,88457.22,4212.25,6.16,Active
OBL0000272,CUS000177,Bank Albilad,Mortgage,5031017.47,0.0,0.0,5.25,Closed
OBL0000273,CUS000177,Tabby,Tabby,1743.85,1280.75,91.48,0.0,Active
OBL0000274,CUS000177,SNB,Credit Card,127895.1,113676.74,3919.89,20.65,Active
OBL0000275,CUS000177,Riyad Bank,Credit Card,113583.77,66112.87,1247.41,26.32,Deferred
OBL0000276,CUS000178,Saudi Investment Bank,Personal Loan,130722.01,0.0,0.0,6.58,Closed
OBL0000277,CUS000178,Riyad Bank,Auto Loan,119327.81,106058.99,3213.91,3.55,Active
OBL0000278,CUS000178,Tamara,Tamara,3581.26,926.66,16.26,0.0,Active
OBL0000279,CUS000181,SAB,Mortgage,2419341.29,573372.27,71671.53,4.81,Deferred
OBL0000280,CUS000182,Riyad Bank,Auto Loan,100695.21,26577.86,3322.23,5.01,Active
OBL0000281,CUS000182,Alinma Bank,Auto Loan,103719.44,38001.77,690.94,5.51,Active
OBL0000282,CUS000183,Saudi Investment Bank,Credit Card,12104.41,7356.29,490.42,27.21,Active
OBL0000283,CUS000184,Bank Albilad,Auto Loan,186531.49,119913.84,5450.63,5.4,Active
OBL0000284,CUS000186,Al Rajhi Bank,Credit Card,24129.05,5386.04,168.31,26.03,Active
OBL0000285,CUS000187,Tabby,Tabby,1485.08,0.0,0.0,0.0,Closed
OBL0000286,CUS000188,SAB,Personal Loan,353187.32,311924.57,11997.1,8.91,Active
OBL0000287,CUS000188,SAB,Credit Card,58432.51,34852.95,1659.66,26.58,Active
OBL0000288,CUS000188,Riyad Bank,Personal Loan,137748.56,29097.18,2645.2,6.91,Active
OBL0000289,CUS000188,SNB,Mortgage,2120760.61,0.0,0.0,2.83,Closed
OBL0000290,CUS000189,SAB,Auto Loan,34635.78,33495.49,587.64,6.51,Active
OBL0000291,CUS000189,SAB,Personal Loan,199936.5,49586.9,,6.75,Active
OBL0000292,CUS000190,Tamara,Tamara,1848.82,993.73,18.75,0.0,Active
OBL0000293,CUS000190,SAB,Mortgage,1119001.68,30947.9,5157.98,3.27,Active
