customer_id,connected_banks,total_balance,total_loans,total_credit_card_balance,total_bnpl_balance,total_monthly_commitments,total_income,debt_to_income_ratio,credit_utilization,financial_stability_score,default_probability,risk_level,recommendation,explainable_reason
CUS000026,2,517087.64,0.0,13997.2,0.0,348.55,17765.0,0.0196,0.2626,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000027,3,616009.89,0.0,819.23,1483.33,257.79,13434.0,0.0192,0.0203,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000028,5,695595.16,0.0,0.0,0.0,0.0,13244.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000029,4,328880.91,0.0,0.0,0.0,0.0,5058.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000030,5,76207.11,0.0,0.0,0.0,0.0,2401.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000031,2,47160.36,129083.8,0.0,2106.81,4668.66,7660.0,0.6095,0.0,68.0,0.35,Medium,Manual Review,High Debt-to-Income Ratio | Multiple Active Loans
CUS000032,5,53381.13,0.0,0.0,0.0,0.0,1595.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000033,4,324351.78,0.0,0.0,0.0,0.0,7162.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000034,1,40698.08,64177.17,19352.22,0.0,4844.53,29293.0,0.1654,0.2202,95.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000035,1,144288.1,740956.54,0.0,2890.11,21281.35,18035.0,1.18,0.0,70.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000036,1,98591.02,125976.4,0.0,0.0,2999.44,26069.0,0.1151,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000037,3,581241.86,0.0,0.0,341.29,21.33,17933.0,0.0012,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000038,2,80402.44,35322.02,0.0,0.0,706.44,7711.0,0.0916,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000039,3,1051560.85,0.0,0.0,0.0,0.0,34405.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000040,5,2316135.32,226685.65,0.0,0.0,5397.28,47996.0,0.1125,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000041,5,1901303.47,0.0,0.0,3614.46,190.38,19425.0,0.0098,0.0,100.0,0.1,Low,Approve,High BNPL Exposure
CUS000042,4,726240.99,1425013.09,15518.1,0.0,79520.07,33306.0,2.3876,0.1553,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000043,2,512073.2,0.0,19489.21,0.0,6496.4,14377.0,0.4519,0.4519,86.0,0.12,Low,Approve,Excellent Repayment Capacity
CUS000044,2,58945.73,82531.57,0.0,651.18,2127.82,9621.0,0.2212,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000045,3,30986.09,0.0,0.0,0.0,0.0,2487.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000046,5,709567.51,0.0,0.0,0.0,0.0,9764.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000047,5,676972.59,0.0,0.0,0.0,0.0,15280.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000048,4,596729.38,0.0,0.0,0.0,0.0,8182.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000049,5,311945.62,0.0,0.0,0.0,0.0,10247.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000050,5,836339.64,0.0,49621.57,2957.41,1263.62,19720.0,0.0641,0.8388,93.0,0.15,Low,Approve,High Credit Card Utilization | High BNPL Exposure
CUS000051,3,1776022.36,13567.08,0.0,91.94,317.21,23871.0,0.0133,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000052,2,10110.9,0.0,0.0,0.0,0.0,302.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000053,5,1183292.29,0.0,25131.11,1551.46,290.4,18425.0,0.0158,0.4547,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000054,5,1079854.03,197722.33,0.0,1549.69,3627.62,20994.0,0.1728,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000055,1,21385.24,80274.47,0.0,3852.09,4318.86,27088.0,0.1594,0.0,90.0,0.1,Low,Approve,Low Average Balance | High BNPL Exposure
CUS000056,3,708265.68,2847249.07,28891.23,3847.21,65781.42,34223.0,1.9221,0.2814,68.0,0.5,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000057,3,569385.41,0.0,0.0,0.0,0.0,24372.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000058,3,125076.71,0.0,2124.74,4202.19,93.38,6030.0,0.0155,0.1175,88.0,0.15,Low,Approve,High BNPL Exposure
CUS000059,1,134618.1,0.0,23378.72,0.0,591.37,22740.0,0.026,0.3427,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000060,1,96151.0,0.0,0.0,2680.44,51.21,24476.0,0.0021,0.0,100.0,0.05,Low,Approve,High BNPL Exposure
CUS000061,4,969354.07,24386.94,0.0,0.0,2709.66,23699.0,0.1143,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000062,5,322928.19,0.0,0.0,0.0,0.0,8650.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000063,3,592623.43,67273.38,0.0,1631.22,1841.1,13820.0,0.1332,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000064,3,70202.48,42788.02,0.0,0.0,1258.47,6504.0,0.1935,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000065,4,698119.07,0.0,0.0,0.0,0.0,19671.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000066,3,1666706.6,0.0,0.0,0.0,0.0,46901.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000067,1,26151.74,0.0,3399.11,0.0,113.3,5509.0,0.0206,0.2057,90.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000068,2,66339.8,35296.43,0.0,223.16,1416.82,4692.0,0.302,0.0,,0.15,Low,Approve,Excellent Repayment Capacity
CUS000069,4,590110.63,0.0,0.0,0.0,0.0,24166.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000070,3,179816.75,66978.55,0.0,0.0,2093.08,6074.0,0.3446,0.0,83.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000071,4,735211.64,0.0,4461.26,132.31,130.85,10444.0,0.0125,0.1424,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000072,2,60266.79,2918.22,0.0,1166.82,78.34,11069.0,0.0071,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000073,5,3326953.13,0.0,0.0,0.0,0.0,52428.0,0.0,,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000074,2,99565.33,132330.79,0.0,0.0,8270.67,9044.0,0.9145,0.0,66.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000075,2,469005.81,3238055.99,0.0,2427.14,98855.65,57055.0,1.7326,0.0,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000076,4,447589.45,292039.53,10870.99,0.0,5991.42,31148.0,0.1924,0.1163,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000077,5,1611531.65,0.0,0.0,0.0,0.0,22989.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000078,4,212815.89,65672.6,0.0,0.0,1427.67,7602.0,0.1878,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000079,4,255596.33,0.0,1179.87,269.13,69.0,8634.0,0.008,0.0456,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000080,1,40040.55,0.0,0.0,1152.37,48.02,10832.0,0.0044,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000081,5,2556315.58,465950.39,0.0,0.0,10743.68,32257.0,0.3331,0.0,98.0,0.05,Low,Approve,Multiple Active Loans
CUS000082,2,235251.68,78478.82,0.0,661.71,2736.89,11869.0,0.2306,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000083,1,41770.88,109440.22,0.0,0.0,0.0,13818.0,0.0,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000084,3,610965.71,0.0,0.0,0.0,0.0,14592.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000085,1,336027.03,1173906.67,6381.37,842.99,234939.66,12827.0,18.316,0.1658,63.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000086,4,1211549.56,93630.28,0.0,812.46,7216.1,18162.0,0.3973,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000087,4,176161.95,0.0,0.0,0.0,0.0,2351.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000088,1,337696.09,0.0,1786.76,0.0,54.14,27465.0,0.002,0.0217,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000089,2,16331.49,0.0,0.0,0.0,0.0,719.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000090,2,197803.16,385094.76,0.0,0.0,16045.61,31834.0,0.504,0.0,93.0,0.12,Medium,Manual Review,Multiple Active Loans
CUS000091,5,794370.57,394216.89,0.0,0.0,9227.71,13132.0,0.7027,0.0,76.0,0.3,Medium,Manual Review,High Debt-to-Income Ratio | Multiple Active Loans
CUS000092,5,2748248.78,0.0,0.0,0.0,0.0,43862.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000093,1,98368.47,0.0,0.0,1001.74,46.1,13221.0,0.0035,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000094,2,81906.4,0.0,13201.14,1163.27,1489.6,10200.0,0.146,0.4314,96.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000095,4,1163016.72,102731.37,4562.34,0.0,3928.18,22094.0,0.1778,0.0688,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000096,2,73647.34,0.0,0.0,0.0,0.0,4123.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000097,5,710043.74,0.0,14138.45,0.0,235.64,8917.0,0.0264,0.5285,96.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000098,2,999777.06,0.0,45464.61,0.0,1262.91,48659.0,0.026,0.3115,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000099,2,242698.18,106027.21,0.0,2418.45,4362.01,27860.0,0.1566,0.0,100.0,0.05,Low,Approve,High BNPL Exposure
CUS000100,1,53057.75,0.0,37391.79,3246.85,4741.61,26044.0,0.1821,0.4786,85.0,0.1,Low,Approve,High BNPL Exposure
CUS000101,5,2108283.5,903879.51,0.0,2262.73,111.36,25914.0,0.0043,0.0,100.0,0.05,Low,Approve,Multiple Active Loans | High BNPL Exposure
CUS000102,4,1577374.79,0.0,0.0,312.24,9.76,24929.0,0.0004,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000103,3,1210713.82,111245.13,0.0,0.0,2796.85,26098.0,0.1072,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000104,4,246323.73,0.0,0.0,0.0,0.0,2501.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000105,2,426001.15,0.0,28253.52,671.9,822.87,27092.0,0.0304,0.3476,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000106,2,140589.89,2949.82,5805.44,0.0,282.22,7860.0,0.0359,0.2462,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000107,5,937416.67,50743.56,0.0,283.14,1062.94,10866.0,0.0978,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000108,4,1659661.26,0.0,0.0,0.0,0.0,28130.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000109,3,782462.04,0.0,0.0,1940.5,34.04,26749.0,0.0013,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000110,3,653425.27,20581.17,0.0,39.17,447.69,9719.0,0.0461,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000111,5,1162755.67,49372.55,9901.21,0.0,5688.02,25755.0,0.2209,0.1281,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000112,4,2235655.47,285319.59,0.0,812.66,31718.43,58512.0,0.5421,0.0,93.0,0.12,Medium,Manual Review,Excellent Repayment Capacity
CUS000113,2,427452.75,601642.6,0.0,4074.87,75302.34,22695.0,3.318,0.0,68.0,0.5,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000114,3,39632.42,0.0,0.0,0.0,0.0,1722.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000115,3,308456.88,0.0,0.0,0.0,0.0,15612.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000116,5,492041.48,0.0,5426.57,0.0,91.98,5291.0,0.0174,0.3419,88.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000117,3,915081.96,0.0,0.0,0.0,0.0,12102.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000118,4,430663.38,0.0,3491.98,0.0,124.71,9233.0,0.0135,0.1261,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000119,1,114957.44,0.0,10610.24,0.0,583.22,7505.0,0.0777,0.4713,85.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000120,4,3029131.0,101314.5,0.0,0.0,5280.73,38546.0,0.137,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000121,3,376988.68,0.0,0.0,0.0,0.0,12101.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000122,1,1766.48,0.0,0.0,0.0,0.0,2266.0,0.0,0.0,80.0,0.15,Low,Approve,Low Average Balance
CUS000123,5,1525277.41,0.0,0.0,0.0,0.0,33287.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000124,2,1483635.91,0.0,0.0,0.0,0.0,42292.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000125,3,342950.28,0.0,5743.76,0.0,119.66,9188.0,0.013,0.2084,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000126,4,948894.79,0.0,0.0,0.0,0.0,12623.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000127,4,891176.25,15881.73,0.0,0.0,529.39,31484.0,0.0168,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000128,2,611371.82,35813.74,6879.71,2303.97,867.56,15705.0,0.0552,0.146,100.0,0.05,Low,Approve,High BNPL Exposure
CUS000129,2,32341.63,576759.39,0.0,253.65,57683.4,13668.0,4.2203,0.0,56.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000130,5,606351.4,0.0,0.0,3044.23,60.88,18432.0,0.0033,0.0,100.0,0.1,Low,Approve,High BNPL Exposure
CUS000131,4,209265.89,0.0,6093.05,0.0,697.76,10142.0,0.0688,0.2003,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000132,5,308673.92,37657.33,0.0,0.0,1981.96,6690.0,0.2963,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000133,4,1198982.41,0.0,0.0,0.0,0.0,28414.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000134,1,53847.66,111096.73,0.0,0.0,4629.03,8754.0,0.5288,0.0,83.0,0.12,Medium,Manual Review,Multiple Active Loans
CUS000135,3,182050.28,9241.26,0.0,0.0,543.6,4900.0,0.1109,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000136,2,163291.0,19422.25,0.0,0.0,334.87,7089.0,0.0472,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000137,2,213768.65,0.0,0.0,0.0,0.0,11552.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000138,5,1119495.71,0.0,0.0,0.0,0.0,25444.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000139,4,1415392.35,55000.74,0.0,0.0,1410.28,33660.0,0.0419,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000140,4,206003.58,0.0,0.0,0.0,0.0,5951.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000141,2,463655.8,1126465.36,12357.96,148.94,24828.7,16040.0,1.5479,0.2568,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000142,5,1880941.66,948554.56,0.0,1717.79,22631.35,42501.0,0.5325,0.0,93.0,0.12,Medium,Manual Review,Multiple Active Loans
CUS000143,5,130100.59,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000144,3,1465470.04,0.0,0.0,0.0,0.0,21163.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000145,5,834913.19,85701.84,0.0,0.0,4883.78,29281.0,0.1668,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000146,2,360989.09,0.0,0.0,931.29,18.79,21179.0,0.0009,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000147,2,574055.17,0.0,0.0,383.02,19.15,25178.0,0.0008,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000148,3,2650654.02,0.0,0.0,0.0,0.0,40988.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000149,5,974505.21,70934.66,0.0,0.0,2627.21,15316.0,0.1715,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000150,5,447288.62,0.0,0.0,0.0,0.0,9052.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000151,2,284247.3,37292.41,4500.46,0.0,7533.49,11105.0,0.6784,0.1351,76.0,0.3,Medium,Manual Review,High Debt-to-Income Ratio
CUS000152,2,567488.43,0.0,0.0,0.0,0.0,25807.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000153,3,518349.82,0.0,5613.07,2106.14,255.95,22010.0,0.0116,0.085,100.0,0.05,Low,Approve,High BNPL Exposure
CUS000154,3,333476.48,0.0,0.0,0.0,0.0,10189.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000155,3,1313648.78,43260.67,35007.61,0.0,1373.13,22272.0,0.0617,0.5239,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000156,4,3066073.05,0.0,0.0,42.38,1.41,47280.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000157,2,588695.67,0.0,0.0,0.0,0.0,13809.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000158,1,23817.67,0.0,0.0,0.0,0.0,11891.0,0.0,0.0,88.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000159,3,401902.24,72001.28,0.0,0.0,1220.36,15706.0,0.0777,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000160,5,1528474.25,303619.34,0.0,937.71,7734.29,26149.0,0.2958,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000161,3,426129.04,0.0,0.0,0.0,0.0,8702.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000162,2,470000.9,0.0,0.0,489.77,13.99,13421.0,0.001,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000163,4,1082244.32,504750.61,0.0,0.0,15295.47,21363.0,0.716,0.0,83.0,0.3,Medium,Manual Review,High Debt-to-Income Ratio | Multiple Active Loans
CUS000164,5,2566889.01,0.0,0.0,0.0,0.0,35827.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000165,1,81180.87,121848.67,0.0,1515.28,3374.9,13827.0,0.2441,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000166,5,1033141.85,0.0,0.0,0.0,0.0,16612.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000167,2,637299.77,0.0,0.0,0.0,0.0,14940.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000168,2,341632.49,0.0,0.0,0.0,0.0,22533.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000169,5,962700.19,158577.59,1496.0,2008.8,30348.29,11853.0,2.5604,0.0421,66.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000170,4,582126.21,0.0,5498.0,0.0,157.09,14907.0,0.0105,0.1229,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000171,4,811009.51,0.0,0.0,0.0,0.0,17043.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000172,4,637404.66,88457.22,0.0,0.0,4212.25,44144.0,0.0954,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000173,2,487793.74,0.0,0.0,0.0,0.0,25018.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000174,2,1070427.45,0.0,0.0,0.0,0.0,27641.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000175,2,100256.83,0.0,0.0,0.0,0.0,14633.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000176,4,228832.96,0.0,0.0,0.0,0.0,5759.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000177,1,690622.01,0.0,179789.61,1280.75,5258.78,51176.0,0.1028,1.0,90.0,0.15,Low,Approve,High Credit Card Utilization
CUS000178,1,170413.57,106058.99,0.0,926.66,3230.17,11983.0,0.2696,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000179,2,143282.59,0.0,0.0,0.0,0.0,4318.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000180,2,784490.99,0.0,0.0,0.0,0.0,56496.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000181,2,421112.69,573372.27,0.0,0.0,71671.53,27954.0,2.5639,0.0,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000182,5,744835.25,64579.63,0.0,0.0,4013.17,9875.0,0.4064,0.0,91.0,0.12,Low,Approve,Excellent Repayment Capacity
CUS000183,4,504505.98,0.0,7356.29,0.0,490.42,11349.0,0.0432,0.2161,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000184,5,1508579.19,119913.84,0.0,0.0,5450.63,19561.0,0.2786,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000185,5,378460.46,0.0,0.0,0.0,0.0,8477.0,0.0,,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000186,2,400943.73,0.0,5386.04,0.0,168.31,29406.0,0.0057,0.0611,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000187,1,34573.96,0.0,0.0,0.0,0.0,6599.0,0.0,0.0,90.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000188,5,1346894.83,341021.75,34852.95,0.0,16301.96,21874.0,0.7453,0.5311,78.0,0.3,Medium,Manual Review,High Debt-to-Income Ratio | Multiple Active Loans
